model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
Qwen3.5-9B-it,idiomatic_nc,grey matter,synonym,0.9771336948172199,0.6321328356084991,0.6301660751232706
Qwen3.5-9B-it,idiomatic_nc,grey matter,component,0.9491126038798545,0.5214304814598343,0.6737292411652533
Qwen3.5-9B-it,idiomatic_nc,grey matter,word_by_word,0.9323245221298867,0.6477835181795298,0.6807002571779781
Qwen3.5-9B-it,idiomatic_nc,grey matter,random,0.9133983385310774,0.6007450733582834,0.5358395470883253
Qwen3.5-9B-it,idiomatic_nc,eager beaver,synonym,0.9365772367726007,0.6708183890794212,0.6502870097227471
Qwen3.5-9B-it,idiomatic_nc,eager beaver,component,0.9424363199658824,0.7274662282498292,0.7160075225302066
Qwen3.5-9B-it,idiomatic_nc,eager beaver,word_by_word,0.9362650578382925,0.7127071437600487,0.6590775461802314
Qwen3.5-9B-it,idiomatic_nc,eager beaver,random,0.9110212957708252,0.5641556318458654,0.5499893154752621
Qwen3.5-9B-it,idiomatic_nc,couch potato,synonym,0.9562303744330354,0.7076150028883771,0.5803419876193637
Qwen3.5-9B-it,idiomatic_nc,couch potato,component,0.8986984524697567,0.5566881447991044,0.6136585909848874
Qwen3.5-9B-it,idiomatic_nc,couch potato,word_by_word,0.9585838510974625,0.8226506749662523,0.6087654803155387
Qwen3.5-9B-it,idiomatic_nc,couch potato,random,0.8624117838055675,0.4345620371797626,0.5328045762008055
Qwen3.5-9B-it,idiomatic_nc,cold feet,synonym,0.9526350272981247,0.7459163040992319,0.6055699861512661
Qwen3.5-9B-it,idiomatic_nc,cold feet,component,0.9561669143433247,0.4665174811010159,0.5569009443483719
Qwen3.5-9B-it,idiomatic_nc,cold feet,word_by_word,0.9823982416570891,0.8424779778039798,0.7344878838430674
Qwen3.5-9B-it,idiomatic_nc,cold feet,random,0.9143582117537167,0.5267082796906464,0.5886474505583289
Qwen3.5-9B-it,idiomatic_nc,white elephant,synonym,0.964140656328633,0.5893799473513739,0.5365923537978459
Qwen3.5-9B-it,idiomatic_nc,white elephant,component,0.9229991370123705,0.5007874478730089,0.649839349876741
Qwen3.5-9B-it,idiomatic_nc,white elephant,word_by_word,0.9236557742984464,0.5903179568035737,0.5652681762581203
Qwen3.5-9B-it,idiomatic_nc,white elephant,random,0.921082129750864,0.5692345045084207,0.6106755892912663
Qwen3.5-9B-it,idiomatic_nc,red tape,synonym,0.9815509633266973,0.727566199993229,0.6165797563625991
Qwen3.5-9B-it,idiomatic_nc,red tape,component,0.9363864113701522,0.4444592404564287,0.6030314626419162
Qwen3.5-9B-it,idiomatic_nc,red tape,word_by_word,0.9387929195433107,0.6242901855170521,0.6820344146522506
Qwen3.5-9B-it,idiomatic_nc,red tape,random,0.9064705267730903,0.486211234661862,0.5762340680536321
Qwen3.5-9B-it,idiomatic_nc,dark horse,synonym,0.9396456449821323,0.6134519402400354,0.669382525616919
Qwen3.5-9B-it,idiomatic_nc,dark horse,component,0.8798180153738931,0.4735673756465427,0.6635441550027811
Qwen3.5-9B-it,idiomatic_nc,dark horse,word_by_word,0.8271692077912821,0.6475074377801481,0.7339407365338021
Qwen3.5-9B-it,idiomatic_nc,dark horse,random,0.7495840167746052,0.4099304166932115,0.44029789643035194
Qwen3.5-9B-it,idiomatic_nc,black sheep,synonym,0.9654807823514057,0.671922441750909,0.6640174663048668
Qwen3.5-9B-it,idiomatic_nc,black sheep,component,0.9487241643845328,0.5930496206831065,0.6888539479146458
Qwen3.5-9B-it,idiomatic_nc,black sheep,word_by_word,0.9437801983954838,0.6877002230371211,0.7225904432470304
Qwen3.5-9B-it,idiomatic_nc,black sheep,random,0.901044366042512,0.4954630727962095,0.6363285123442728
Qwen3.5-9B-it,idiomatic_nc,silver lining,synonym,0.9728235022496616,0.7342660882539911,0.6898248624934219
Qwen3.5-9B-it,idiomatic_nc,silver lining,component,0.9516580332825065,0.5791124189080604,0.6403154408004637
Qwen3.5-9B-it,idiomatic_nc,silver lining,word_by_word,0.938345633678499,0.5520410959486278,0.6466797493721329
Qwen3.5-9B-it,idiomatic_nc,silver lining,random,0.9165080765660412,0.5142502881669206,0.5942868822829405
Qwen3.5-9B-it,idiomatic_nc,ivory tower,synonym,0.9421211686383562,0.6287942563188433,0.6844369371170623
Qwen3.5-9B-it,idiomatic_nc,ivory tower,component,0.9161293238621906,0.5086064680957714,0.6276783318767509
Qwen3.5-9B-it,idiomatic_nc,ivory tower,word_by_word,0.9192561419711155,0.5119047579170153,0.6083094589998688
Qwen3.5-9B-it,idiomatic_nc,ivory tower,random,0.8975400058557537,0.6144611515313578,0.6687152211259033
Qwen3.5-9B-it,idiomatic_nc,glass ceiling,synonym,0.9526222400734966,0.7187050849245028,0.7293745630170426
Qwen3.5-9B-it,idiomatic_nc,glass ceiling,component,0.9123100472158833,0.6428264737633943,0.6027483853143011
Qwen3.5-9B-it,idiomatic_nc,glass ceiling,word_by_word,0.8892655287118506,0.6961699548043193,0.7236272407756805
Qwen3.5-9B-it,idiomatic_nc,glass ceiling,random,0.8788254625692249,0.6291347318002082,0.6716485449259288
Qwen3.5-9B-it,idiomatic_nc,cash cow,synonym,0.9449746579572743,0.648615464979848,0.564369418946498
Qwen3.5-9B-it,idiomatic_nc,cash cow,component,0.9406675200475254,0.533781925010863,0.5343628915023839
Qwen3.5-9B-it,idiomatic_nc,cash cow,word_by_word,0.9671594335277806,0.7775020368835633,0.6818526336880337
Qwen3.5-9B-it,idiomatic_nc,cash cow,random,0.8821233562850538,0.5177152520230534,0.6080201950156624
Qwen3.5-9B-it,idiomatic_nc,loose cannon,synonym,0.959663824155891,0.7103614763803391,0.6398395405765359
