model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
Gemma3-1B-it,idiomatic_nc,grey matter,synonym,0.9849224941787443,0.715615087028821,0.4537595859312402
Gemma3-1B-it,idiomatic_nc,grey matter,component,0.9790468904904042,0.6181316209862372,0.6009847645350658
Gemma3-1B-it,idiomatic_nc,grey matter,word_by_word,0.9829397330534412,0.8490733711929062,0.6158083944456689
Gemma3-1B-it,idiomatic_nc,grey matter,random,0.9474610664589528,0.6487159660332082,0.5574756678972136
Gemma3-1B-it,idiomatic_nc,eager beaver,synonym,0.9763437449051654,0.8227533325588567,0.605211282391454
Gemma3-1B-it,idiomatic_nc,eager beaver,component,0.9884760708180408,0.8798753972892424,0.6410706731199246
Gemma3-1B-it,idiomatic_nc,eager beaver,word_by_word,0.9808479420734306,0.8874717793883424,0.6812691881482652
Gemma3-1B-it,idiomatic_nc,eager beaver,random,0.952570709021878,0.7289778605718562,0.5427351366439385
Gemma3-1B-it,idiomatic_nc,couch potato,synonym,0.9745316462034835,0.7841438596423501,0.720205491737341
Gemma3-1B-it,idiomatic_nc,couch potato,component,0.9369397206814712,0.6638822265692186,0.639765830750537
Gemma3-1B-it,idiomatic_nc,couch potato,word_by_word,0.9663310935356048,0.8430315953982557,0.6239722951335603
Gemma3-1B-it,idiomatic_nc,couch potato,random,0.9196904636321265,0.5828504688942798,0.5782433355773243
Gemma3-1B-it,idiomatic_nc,cold feet,synonym,0.9878003820903889,0.756591187885745,0.636475246590582
Gemma3-1B-it,idiomatic_nc,cold feet,component,0.9820768273190086,0.6076889996272254,0.4345563975099368
Gemma3-1B-it,idiomatic_nc,cold feet,word_by_word,0.9895322350392636,0.8895470596023208,0.605764333676214
Gemma3-1B-it,idiomatic_nc,cold feet,random,0.969665188129594,0.6287189015576671,0.5588405817887128
Gemma3-1B-it,idiomatic_nc,white elephant,synonym,0.9785775913172514,0.6562620942741465,0.5718179323763091
Gemma3-1B-it,idiomatic_nc,white elephant,component,0.9698963642981926,0.5822451697030854,0.5533309674998047
Gemma3-1B-it,idiomatic_nc,white elephant,word_by_word,0.9668837786686051,0.7742644362686012,0.7446446243398946
Gemma3-1B-it,idiomatic_nc,white elephant,random,0.963262793978853,0.6834042816771669,0.5661305531192993
Gemma3-1B-it,idiomatic_nc,red tape,synonym,0.9832886879849939,0.7161488356065574,0.5022809257797024
Gemma3-1B-it,idiomatic_nc,red tape,component,0.9696967975907689,0.602942112500182,0.5044490077142633
Gemma3-1B-it,idiomatic_nc,red tape,word_by_word,0.9714717477332381,0.7456556427499026,0.7197624394843269
Gemma3-1B-it,idiomatic_nc,red tape,random,0.9548257565210669,0.6002039520295308,0.6294688740121457
Gemma3-1B-it,idiomatic_nc,dark horse,synonym,0.9788492522560235,0.796086662755803,0.6730103196160722
Gemma3-1B-it,idiomatic_nc,dark horse,component,0.9197800612028643,0.5157895268386483,0.43693840741207846
Gemma3-1B-it,idiomatic_nc,dark horse,word_by_word,0.9483804856335167,0.783801557658256,0.7313872438612171
Gemma3-1B-it,idiomatic_nc,dark horse,random,0.9019482332404893,0.608620516252688,0.5054210883108409
Gemma3-1B-it,idiomatic_nc,black sheep,synonym,0.9818185691198151,0.7413177876244502,0.5683657010992356
Gemma3-1B-it,idiomatic_nc,black sheep,component,0.9697286893656857,0.6626293690797749,0.5930559773455976
Gemma3-1B-it,idiomatic_nc,black sheep,word_by_word,0.9834084643902147,0.8389387535294243,0.7140433401102493
