id,mweId,canonicalForm,kind,lexicalForm,sourceMweId,rank,frequency,averageFrequency,targetAverageFrequency,logFrequencyDelta,reviewStatus,semanticReviewStatus,grammarReviewStatus,source,sourceId,license,licenseReviewStatus,notes
TR-NC-001-tatoeba-rand-01,TR-NC-001,acı reçete,P_Rand,yasak aşk,TR-NC-168,1,0.269014119744103,53.53380982907649,53.175124336084366,0.006599030657262084,review_required,not_reviewed,not_reviewed,Curated TR MWE pool; Tatoeba frequency snapshot,SRC-002,Candidate form from project inventory; counts from Tatoeba CC BY 2.0 FR,mixed_inventory_and_verified_open_frequency_source,Human must confirm semantic unrelatedness and contextual grammar.
TR-NC-001-tatoeba-rand-02,TR-NC-001,acı reçete,P_Rand,sınıf öğretmeni,TR-NC-200,2,1.076056478976412,53.533809829076496,53.175124336084366,0.006599030657262528,review_required,not_reviewed,not_reviewed,Curated TR MWE pool; Tatoeba frequency snapshot,SRC-002,Candidate form from project inventory; counts from Tatoeba CC BY 2.0 FR,mixed_inventory_and_verified_open_frequency_source,Human must confirm semantic unrelatedness and contextual grammar.
TR-NC-001-tatoeba-rand-03,TR-NC-001,acı reçete,P_Rand,ekmek teknesi,TR-NC-113,3,0.0,54.34085218830881,53.175124336084366,0.0212895308763259,review_required,not_reviewed,not_reviewed,Curated TR MWE pool; Tatoeba frequency snapshot,SRC-002,Candidate form from project inventory; counts from Tatoeba CC BY 2.0 FR,mixed_inventory_and_verified_open_frequency_source,Human must confirm semantic unrelatedness and contextual grammar.
TR-NC-001-tatoeba-rand-04,TR-NC-001,acı reçete,P_Rand,sürpriz yumurta,TR-NC-096,4,0.0,54.609866308052915,53.175124336084366,0.02613879459544899,review_required,not_reviewed,not_reviewed,Curated TR MWE pool; Tatoeba frequency snapshot,SRC-002,Candidate form from project inventory; counts from Tatoeba CC BY 2.0 FR,mixed_inventory_and_verified_open_frequency_source,Human must confirm semantic unrelatedness and contextual grammar.
TR-NC-001-tatoeba-rand-05,TR-NC-001,acı reçete,P_Rand,deniz kurdu,TR-NC-111,5,0.269014119744103,55.05822317429308,53.175124336084366,0.03416900766076436,review_required,not_reviewed,not_reviewed,Curated TR MWE pool; Tatoeba frequency snapshot,SRC-002,Candidate form from project inventory; counts from Tatoeba CC BY 2.0 FR,mixed_inventory_and_verified_open_frequency_source,Human must confirm semantic unrelatedness and contextual grammar.
TR-NC-001-tatoeba-rand-06,TR-NC-001,acı reçete,P_Rand,televizyon kanalı,TR-NC-242,6,1.076056478976412,55.59625141378129,53.175124336084366,0.04372091107527476,review_required,not_reviewed,not_reviewed,Curated TR MWE pool; Tatoeba frequency snapshot,SRC-002,Candidate form from project inventory; counts from Tatoeba CC BY 2.0 FR,mixed_inventory_and_verified_open_frequency_source,Human must confirm semantic unrelatedness and contextual grammar.
TR-NC-001-tatoeba-rand-07,TR-NC-001,acı reçete,P_Rand,şehir haritası,TR-NC-257,7,0.538028239488206,55.86526553352539,53.175124336084366,0.04846286466574634,review_required,not_reviewed,not_reviewed,Curated TR MWE pool; Tatoeba frequency snapshot,SRC-002,Candidate form from project inventory; counts from Tatoeba CC BY 2.0 FR,mixed_inventory_and_verified_open_frequency_source,Human must confirm semantic unrelatedness and contextual grammar.
TR-NC-001-tatoeba-rand-08,TR-NC-001,acı reçete,P_Rand,şans kapısı,TR-NC-163,8,0.0,56.403293773013594,53.175124336084366,0.05787984198220242,review_required,not_reviewed,not_reviewed,Curated TR MWE pool; Tatoeba frequency snapshot,SRC-002,Candidate form from project inventory; counts from Tatoeba CC BY 2.0 FR,mixed_inventory_and_verified_open_frequency_source,Human must confirm semantic unrelatedness and contextual grammar.
TR-NC-001-tatoeba-rand-09,TR-NC-001,acı reçete,P_Rand,süt liman,TR-NC-050,9,0.269014119744103,50.03662627240315,53.175124336084366,0.059678305328870085,review_required,not_reviewed,not_reviewed,Curated TR MWE pool; Tatoeba frequency snapshot,SRC-002,Candidate form from project inventory; counts from Tatoeba CC BY 2.0 FR,mixed_inventory_and_verified_open_frequency_source,Human must confirm semantic unrelatedness and contextual grammar.
TR-NC-001-tatoeba-rand-10,TR-NC-001,acı reçete,P_Rand,kapalı kutu,TR-NC-032,10,0.0,56.85165063925376,53.175124336084366,0.06566014382047447,review_required,not_reviewed,not_reviewed,Curated TR MWE pool; Tatoeba frequency snapshot,SRC-002,Candidate form from project inventory; counts from Tatoeba CC BY 2.0 FR,mixed_inventory_and_verified_open_frequency_source,Human must confirm semantic unrelatedness and contextual grammar.
