model,group,case,variant,sentence_sim,contextual_span_sim,isolated_phrase_sim
Gemma3-12B-pt,idiomatic_nc,grey matter,synonym,0.9532349801970749,0.6836709676402695,0.5377582299494028
Gemma3-12B-pt,idiomatic_nc,grey matter,component,0.8790732143985237,0.5491570546803275,0.5984803667499106
Gemma3-12B-pt,idiomatic_nc,grey matter,word_by_word,0.8919203118157668,0.6371079682617786,0.6522856343584518
Gemma3-12B-pt,idiomatic_nc,grey matter,random,0.8442981283764713,0.5429559190093749,0.5853422196294393
Gemma3-12B-pt,idiomatic_nc,eager beaver,synonym,0.9558859879707008,0.7484813450795121,0.6164498667583257
Gemma3-12B-pt,idiomatic_nc,eager beaver,component,0.960636796997522,0.6981220721824893,0.5866126245900544
Gemma3-12B-pt,idiomatic_nc,eager beaver,word_by_word,0.9387011401281705,0.7758416567348425,0.598289376934556
Gemma3-12B-pt,idiomatic_nc,eager beaver,random,0.9142254113967698,0.6020895076247936,0.5176574108536993
Gemma3-12B-pt,idiomatic_nc,couch potato,synonym,0.9391520784727959,0.7148230293780903,0.5722420158343311
Gemma3-12B-pt,idiomatic_nc,couch potato,component,0.9066725158397041,0.6104654433122975,0.6212736390315705
Gemma3-12B-pt,idiomatic_nc,couch potato,word_by_word,0.967357075808635,0.8457380280934752,0.6129289210034563
Gemma3-12B-pt,idiomatic_nc,couch potato,random,0.8552226033646221,0.43475578623129185,0.5668396585591718
Gemma3-12B-pt,idiomatic_nc,cold feet,synonym,0.9800624121452993,0.7367414409952335,0.6503852417204384
Gemma3-12B-pt,idiomatic_nc,cold feet,component,0.9691605218368193,0.5858703364501204,0.6708134763812936
Gemma3-12B-pt,idiomatic_nc,cold feet,word_by_word,0.9800644456727863,0.8865931589724318,0.7128976190588623
Gemma3-12B-pt,idiomatic_nc,cold feet,random,0.9338240665748201,0.5112015566934676,0.6068220579304389
Gemma3-12B-pt,idiomatic_nc,white elephant,synonym,0.9665735271687974,0.6945404813464487,0.6131656053655595
Gemma3-12B-pt,idiomatic_nc,white elephant,component,0.9647003196574564,0.559636500606915,0.6998282157285762
Gemma3-12B-pt,idiomatic_nc,white elephant,word_by_word,0.9294807905346695,0.6912952836851819,0.6523511666970025
Gemma3-12B-pt,idiomatic_nc,white elephant,random,0.929889854892046,0.6481837377661368,0.6523927548241061
Gemma3-12B-pt,idiomatic_nc,red tape,synonym,0.9844796875630013,0.7541011736015336,0.541637637475878
Gemma3-12B-pt,idiomatic_nc,red tape,component,0.9490994313318704,0.5210031383733023,0.5660399403696327
Gemma3-12B-pt,idiomatic_nc,red tape,word_by_word,0.9252730862324049,0.6815325396622864,0.6418938763171703
Gemma3-12B-pt,idiomatic_nc,red tape,random,0.9209531084566916,0.49097088856981846,0.6012518126673488
Gemma3-12B-pt,idiomatic_nc,dark horse,synonym,0.9417011530514122,0.6232861750112806,0.703949031364887
Gemma3-12B-pt,idiomatic_nc,dark horse,component,0.913430097587779,0.44184169377622434,0.6397373482972828
Gemma3-12B-pt,idiomatic_nc,dark horse,word_by_word,0.85723941472635,0.6111444237280012,0.6824571753401931
Gemma3-12B-pt,idiomatic_nc,dark horse,random,0.7940557388960765,0.4525332816327115,0.4964227056936012
Gemma3-12B-pt,idiomatic_nc,black sheep,synonym,0.9753935652847281,0.7931071334764328,0.6246791821964208
Gemma3-12B-pt,idiomatic_nc,black sheep,component,0.9580089411727194,0.671205365188365,0.6825353614503428
Gemma3-12B-pt,idiomatic_nc,black sheep,word_by_word,0.9594204483021284,0.7348865488271571,0.7149365126588584
Gemma3-12B-pt,idiomatic_nc,black sheep,random,0.9256974815709167,0.5391024856466059,0.5800971471237311
Gemma3-12B-pt,idiomatic_nc,silver lining,synonym,0.9725433412318749,0.7537661808162246,0.6469959466636208
Gemma3-12B-pt,idiomatic_nc,silver lining,component,0.9742533980744995,0.74359088995814,0.6837899566063104
Gemma3-12B-pt,idiomatic_nc,silver lining,word_by_word,0.9613237357568719,0.6880963830285695,0.7000400605094267
Gemma3-12B-pt,idiomatic_nc,silver lining,random,0.9041545067171511,0.5067115745087108,0.6080352988352098
Gemma3-12B-pt,idiomatic_nc,ivory tower,synonym,0.9438848343569979,0.6531715768116998,0.5931371589741016
Gemma3-12B-pt,idiomatic_nc,ivory tower,component,0.9273701429705873,0.5925997774005516,0.5723570980457399
Gemma3-12B-pt,idiomatic_nc,ivory tower,word_by_word,0.9278212856483832,0.5326503135760903,0.609279508985593
Gemma3-12B-pt,idiomatic_nc,ivory tower,random,0.9248417705954286,0.629842188602593,0.5778673064200271
Gemma3-12B-pt,idiomatic_nc,glass ceiling,synonym,0.9506582675330735,0.7325706089922001,0.6908118140507407
